college,您的年級是？(文),您的年級是？(理),您的年級是？(管),您的年級是？(海),您的年級是？(社),您的年級是？(工),您的年級是？(西),您來自哪一個學系呢？(文),您來自哪一個學系呢？(理),您來自哪一個學系呢？(工),您來自哪一個學系呢？(管),您來自哪一個學系呢？(海),您來自哪一個學系呢？(社),您的性別,是否為外籍生？,來自哪一個國家呢？,請問您是否有參加過多益的考試呢？,toeic_total,toeic_listening,toeic_year,是否有考托福／雅思？,toefl,ielts,self_study,bilingual_year,confident_level ,have_english,該堂課為必修或選修？,該堂課之課名為？,Course by subject,您對該堂課採用英文授課的看法偏向？,您是否還有修過其他英文授課之課程？,該堂課為必修或選修？,該堂課之課名為？,Course by Subject,您對該堂課採用英文授課的看法偏向？,您是否還有修過其他英文授課之課程？,該堂課為必修或選修？,該堂課之課名為？,Course by subject,您對該堂課採用英文授課的看法偏向？,yes_no,agree英文授課的原因 - 我的英文好棒棒，能夠應付得來，甚至有點期待英語授課！,agree英文授課的原因 - 未來出路有可能會用到英文（e.g. 出國留學、工作要求）,agree英文授課的原因 - 可以藉由英文授課的時間練習英文(平常可能抽不出時間) ,agree英文授課的原因 - 英語授課比較容易接軌國際,agree英文授課的原因 - 可以直接吸收專業知識,agree英文授課的原因 - 對英文出題的考試有幫助,還有其他原因導致您agree英文授課嗎？,not agree英文授課的原因 - 我的英文死透透了，真的不是太期待用英文上課,not agree英文授課的原因 - 專業知識用中文都不太好理解了，還用英文解釋！？,not agree英文授課的原因 - 作業／考試／報告要用英文寫很痛苦,not agree英文授課的原因 - 我會因為英文而無法發揮自己的實力,not agree英文授課的原因 - 入學時，大家的英語程度都不一樣，與其用英語授課，不如先加強基礎教育（e.g. 英語口說、通識英文）,not agree英文授課的原因 - 擔心聽不懂老師說的英文(e.g. 發音),not agree英文授課的原因 - 我覺得英文對我的未來沒有幫助,還有其他原因導致您not agree英文授課嗎？
Ocean,,,,大三,,,,,,,,海工系,,生理女,否,,是,845,430,2019,否,,,3,0,5,是,必修,企管 商事法,Social Sciences & Management,agree,否,,,,,,,,,,agree,普通,同意,同意,同意,普通,普通,,,,,,,,,
Art,大一,,,,,,,中文系,,,,,,生理女,否,,否,,,,否,,,0,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,大三,,,,,,,化學系,,,,,生理女,否,,是,885,460,2020,有考雅思,,6,3,3,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean,,,,大三,,,,,,,,海工系,,生理男,否,,否,,,,否,,,1,0,5,是,必修,英文中高級、英文高級,Arts & Humanities,not agree,否,,,,,,,,,,not agree,,,,,,,,普通,非常同意,不同意,普通,非常同意,普通,非常不同意,
Science,,大四,,,,,,,應數系,,,,,生理男,否,,是,350,345,2019,否,,,0,0,5,是,選修,奈米科技概論,Engineering and Technology,沒意見,否,,,,,,,,,,agree,普通,同意,同意,同意,同意,同意,無,,,,,,,,
Engineering,,,,,,大三,,,,電機系,,,,生理男,否,,是,830,400,2019,否,,,16,0,6,是,選修,天方夜譚的世界,Arts & Humanities,agree,否,,,,,,,,,,not agree,,,,,,,,普通,非常同意,普通,同意,非常同意,非常同意,非常不同意,
Ocean,,,,大三,,,,,,,,海工系,,生理男,否,,否,,,,否,,,10,0,3,是,必修,英文中高級,Arts & Humanities,not agree,否,,,,,,,,,,not agree,,,,,,,,非常同意,非常同意,不同意,同意,普通,同意,非常不同意,
Management,,,大四,,,,,,,,資管系,,,生理男,否,,是,825,450,2020,否,,,1,1,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,大四,,,,材光系,,,,生理女,否,,是,825,425,2020,否,,,4,0,3,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大三,,,,,,,,財管系,,,生理女,否,,是,700,350,2018,否,,,0,1,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大二,,,,,,,,資管系,,,生理男,否,,否,,,,否,,,2,6以上,5,是,選修,探尋建築工藝中的高雄故事,Arts & Humanities,沒意見,否,,,,,,,,,,agree,普通,同意,同意,同意,不同意,同意,可以使外籍生與僑生有更多可以選擇的課程,,,,,,,,
Engineering,,,,,,碩班,,,,,,,,生理男,否,,是,500,290,2020,否,,,5,0,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art,大二,,,,,,,劇藝系,,,,,,生理女,是,馬來西亞,否,,,,否,,,0,6,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,碩班,,,,,,,,,,,生理女,否,,是,880,440,2020,否,,,4,6以上,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean,,,,大二,,,,,,,,海科系,,生理男,否,,是,800,435,2020,否,,,7,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大四,,,,,,,,財管系,,,生理女,否,,是,790,400,2016,否,,,1,3,4,是,選修,商用英文,Social Sciences & Management,非常agree,是,選修,國際現勢與公民視野,,非常agree,是,選修,財務工程概論,,agree,agree,不同意,非常同意,同意,同意,同意,普通,,,,,,,,,
Social Science,,,,,大二,,,,,,,,社會系,生理女,否,,是,855,465,2018,否,,,0,0,7,是,選修,地球生命概論,Natural Sciences,沒意見,否,,,,,,,,,,not agree,,,,,,,,不同意,非常同意,同意,同意,非常同意,非常同意,普通,
Engineering,,,,,,碩班,,,,,,,,生理男,否,,是,510,230,2019,否,,,0,0,2,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean,,,,大二,,,,,,,,海科系,,生理男,否,,是,695,345,2018,有考雅思,,6,2,3,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,碩班,,,,,,,,,,,生理女,否,,否,,,,否,,,20,1,9,是,必修,Research Methodology (GHRM),Social Sciences & Management,非常agree,否,,,,,,,,,,agree,同意,普通,同意,同意,同意,同意,累積問卷陰德值，不抽獎(email瞎掰)，祝分析順利。（我高中考過全民英檢中高級，但是沒有這個選項。）,,,,,,,,
Management,,,大四,,,,,,,,財管系,,,生理女,否,,是,850,425,2021,否,,,2,2,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大一,,,,,,,,財管系,,,生理男,否,,是,680,370,2019,否,,,2,2,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,大二,,,,材光系,,,,生理男,否,,是,698,300,2019,否,,,2,5,4,是,選修,社會文化分析,Social Sciences & Management,agree,否,,,,,,,,,,agree,普通,非常同意,非常同意,普通,普通,普通,,,,,,,,,
Engineering,,,,,,大三,,,,光電系,,,,生理男,否,,是,600,350,2018,否,,,0,3,5,是,必修,電子學，工程數學,Engineering and Technology,非常not agree,否,,,,,,,,,,not agree,,,,,,,,同意,非常同意,同意,不同意,同意,同意,非常不同意,
Engineering,,,,,,大二,,,,機電系,,,,生理男,否,,是,945,460,2020,托福、雅思皆考過,105,7.5,12,4,7,是,必修,電路學,Engineering and Technology,非常not agree,否,,,,,,,,,,not agree,,,,,,,,不同意,同意,普通,普通,同意,非常同意,非常不同意,有些認課老師自己本身英文程度就不好，還有一些有嚴重的口音會影響聽力，而且課前沒準備也導致上台支支吾吾的，我覺得要檢討英文授課的成效，不如先從檢討為什麼有著博士學位的教授英文程度會這麼差比較好
Engineering,,,,,,大三,,,,機電系,,,,生理男,否,,否,,,,否,,,0,0,5,是,必修,電路學,Engineering and Technology,沒意見,是,選修,奈米科技概論,,沒意見,否,,,,,agree,普通,非常同意,同意,同意,普通,普通,內容比較少 準備起來比較快速,,,,,,,,
Engineering,,,,,,大一,,,,資工系,,,,生理男,否,,是,930,470,2020,否,,,0,6以上,5,是,必修,微積分 ( 一 ),Engineering and Technology,沒意見,否,,,,,,,,,,agree,普通,同意,同意,普通,普通,普通,,,,,,,,,
Science,,大三,,,,,,,物理系,,,,,生理男,否,,是,750,435,2018,否,,,1,0,5,是,選修,後真相時代的批判性思維,Social Sciences & Management,沒意見,否,,,,,,,,,,not agree,,,,,,,,不同意,非常同意,普通,同意,非常同意,同意,非常不同意,
西灣學院,,,,,,,大一,,,,,,,生理女,否,,否,,,,否,,,3,0,0,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西灣學院,,,,,,,大一,,,,,,,生理女,否,,否,,,,否,,,7,0,0,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art,大四,,,,,,,外文系,,,,,,生理女,否,,是,955,495,2019,有考托福,102,,20,6以上,9,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,大一,,,,,,,物理系,,,,,生理女,否,,否,,,,否,,,0,3,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Science,,,,,大四,,,,,,,,政經系,生理女,否,,是,560,265,2020,否,,,0,0,2,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,大一,,,,材光系,,,,生理男,否,,否,,,,否,,,3,0,5,是,必修,光概,Natural Sciences,沒意見,否,,,,,,,,,,agree,普通,普通,普通,同意,同意,同意,無,,,,,,,,
Ocean,,,,大一,,,,,,,,海資系,,生理女,否,,否,,,,否,,,0,0,3,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大一,,,,,,,,資管系,,,生理男,是,馬來西亞,否,,,,否,,,1,6以上,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean,,,,大二,,,,,,,,海資系,,生理男,否,,是,730,260,2020,否,,,0,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean,,,,大二,,,,,,,,海資系,,生理女,否,,是,800,475,2019,否,,,1,6,7,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean,,,,大二,,,,,,,,海資系,,生理女,否,,是,615,300,2019,否,,,1,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大二,,,,,,,,企管系,,,生理女,否,,是,730,365,2019,否,,,3,0,4,是,選修,國際文化體驗,Arts & Humanities,沒意見,否,,,,,,,,,,not agree,,,,,,,,普通,非常同意,同意,同意,非常同意,同意,不同意,
Social Science,,,,,大四,,,,,,,,政經系,生理女,否,,是,860,455,2020,否,,,0,3,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,大一,,,,,,,化學系,,,,,生理男,否,,是,650,350,2019,否,,,2,6以上,5,是,選修,觀光英語,Social Sciences & Management,agree,否,,,,,,,,,,agree,普通,同意,同意,普通,同意,同意,,,,,,,,,
Ocean,,,,大二,,,,,,,,海資系,,生理男,否,,是,830,400,2020,否,,,10,0,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,大四,,,,電機系,,,,生理女,是,新加坡,否,,,,否,,,16,6以上,7,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,大四,,,,,,,化學系,,,,,生理男,否,,否,,,,否,,,4,6以上,2,是,選修,當代西洋外交史,Social Sciences & Management,非常agree,否,,,,,,,,,,not agree,,,,,,,,同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常不同意,
Ocean,,,,大二,,,,,,,,海資系,,生理女,否,,是,515,250,2019,否,,,2,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean,,,,大二,,,,,,,,海資系,,生理女,否,,否,,,,否,,,2,0,5,是,必修,英文中級,Arts & Humanities,agree,否,,,,,,,,,,agree,普通,同意,同意,同意,同意,同意,,,,,,,,,
Ocean,,,,大二,,,,,,,,海資系,,生理女,否,,是,750,420,2018,否,,,4,0,8,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean,,,,大二,,,,,,,,海資系,,生理女,否,,否,,,,否,,,0,6,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Science,,,,,大三,,,,,,,,社會系,生理男,是,,否,,,,否,,,13,6以上,3,是,必修,科學,Natural Sciences,agree,否,,,,,,,,,,agree,普通,非常同意,同意,同意,普通,普通,沒,,,,,,,,
Ocean,,,,大二,,,,,,,,海科系,,生理男,否,,是,750,310,2019,否,,,0,0,0,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,大二,,,,,,,生科系,,,,,生理女,否,,是,855,445,2019,否,,,2,0,8,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大三,,,,,,,,企管系,,,生理男,否,,否,,,,否,,,1,0,5,是,必修,商事法,Social Sciences & Management,not agree,否,,,,,,,,,,agree,不同意,同意,同意,同意,普通,同意,,,,,,,,,
Ocean,,,,大二,,,,,,,,海科系,,生理女,否,,是,845,450,2019,有考托福,93,,18,2,8,是,選修,海洋生態概論/統計學2,Natural Sciences/Social Sciences & Management,agree,否,,,,,,,,,,agree,普通,非常同意,普通,同意,普通,同意,,,,,,,,,
Management,,,大四,,,,,,,,財管系,,,生理男,否,,是,860,430,2010,否,,,0,0,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,大四,,,,機電系,,,,生理男,否,,是,625,375,2021,否,,,0,0,6,是,必修,科技英文與簡報,Engineering and Technology,非常agree,是,選修,電腦輔助工程(系上選修課，老師為外國人),,非常agree,否,,,,,agree,不同意,非常同意,同意,同意,普通,普通,無。,,,,,,,,
Social Science,,,,,大四,,,,,,,,政經系,生理男,否,,是,825,400,2020,否,,,10,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大四,,,,,,,,資管系,,,生理男,否,,是,800,390,2019,有考托福,90,,0,2,6,是,選修,應用英文,Arts & Humanities,agree,是,選修,西方文學史,,agree,否,,,,,agree,同意,非常同意,普通,同意,普通,同意,,,,,,,,,
Art,大四,,,,,,,外文系,,,,,,生理女,否,,是,945,495,2020,否,,,20,6以上,9,是,選修,國際現勢與公民視野,Social Sciences & Management,agree,是,選修,當代西洋外交史,,agree,是,必修,統計,,not agree,agree,普通,同意,不同意,同意,非常同意,非常同意,,,,,,,,,
Art,大一,,,,,,,中文系,,,,,,生理男,否,,否,,,,否,,,8,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Science,,,,,大三,,,,,,,,政經系,生理女,否,,是,630,315,2018,否,,,1,3,4,是,選修,統計學,Social Sciences & Management,not agree,否,,,,,,,,,,not agree,,,,,,,,普通,非常同意,同意,非常同意,同意,同意,不同意,
